Date,Equity
2004-08-19,10000
2004-08-20,10000
2004-08-23,10000
2004-08-24,10000
2004-08-25,10000
2004-08-26,10000
2004-08-27,10000
2004-08-30,10000
2004-08-31,10000
2004-09-01,10000
2004-09-02,10000
2004-09-03,10000
2004-09-07,10000
2004-09-08,10000
2004-09-09,10000
2004-09-10,10000
2004-09-13,10000
2004-09-14,10000
2004-09-15,10000
2004-09-16,10000
2004-09-17,10000
2004-09-20,10431.7
2004-09-21,10298.9
2004-09-22,10346.1
2004-09-23,10559.3
2004-09-24,10472.8
2004-09-27,10335.6
2004-09-28,11087.2
2004-09-29,11456
2004-09-30,11326.7
2004-10-01,11587.1
2004-10-04,11803.9
2004-10-05,12093.2
2004-10-06,11980.4
2004-10-07,12135.1
2004-10-08,12037.2
2004-10-11,11821.4
2004-10-12,12008.4
2004-10-13,12314.3
2004-10-14,12410.4
2004-10-15,12594.8
2004-10-18,13036.2
2004-10-19,12929.6
2004-10-20,12278.4
2004-10-21,13055.4
2004-10-22,15069.9
2004-10-25,16378.3
2004-10-26,15888.8
2004-10-27,16253.3
2004-10-28,16893.9
2004-10-29,16661.4
2004-11-01,17132.5
2004-11-02,17031.1
2004-11-03,16751.4
2004-11-04,16142.3
2004-11-05,14800.7
2004-11-08,15080.4
2004-11-09,14743.9
2004-11-10,14670.5
2004-11-11,15995.5
2004-11-12,15906.3
2004-11-15,16157.1
2004-11-16,15079.5
2004-11-17,15076
2004-11-18,15076
2004-11-19,15076
2004-11-22,15076
2004-11-23,15076
2004-11-24,15076
2004-11-26,15076
2004-11-29,15076
2004-11-30,15076
2004-12-01,15076
2004-12-02,15076
2004-12-03,15076
2004-12-06,15076
2004-12-07,14428
2004-12-08,14305.9
2004-12-09,14596.3
2004-12-10,14446.5
2004-12-13,14345.5
2004-12-14,15039
2004-12-15,15130.7
2004-12-16,14852.2
2004-12-17,15156
2004-12-20,15571.8
2004-12-21,15571.8
2004-12-22,15571.8
2004-12-23,15571.8
2004-12-27,15942.3
2004-12-28,16012.9
2004-12-29,16024.5
2004-12-30,16414.9
2004-12-31,16015.4
2005-01-03,16839.4
2005-01-04,16157.4
2005-01-05,16075.2
2005-01-06,15663.1
2005-01-07,16103.4
2005-01-10,16203.9
2005-01-11,16077.7
2005-01-12,16230.5
2005-01-13,16226.4
2005-01-14,16611.8
2005-01-18,16938.3
2005-01-19,16390
2005-01-20,16109.2
2005-01-21,15640.7
2005-01-24,15012.7
2005-01-25,14713.6
2005-01-26,15720.5
2005-01-27,15720.5
2005-01-28,15720.5
2005-01-31,15720.5
2005-02-01,15720.5
2005-02-02,15720.5
2005-02-03,15720.5
2005-02-04,15720.5
2005-02-07,15720.5
2005-02-08,15720.5
2005-02-09,15291
2005-02-10,15003.7
2005-02-11,14957.4
2005-02-14,15403.6
2005-02-15,15582.4
2005-02-16,15836.2
2005-02-17,15795.5
2005-02-18,15799.5
2005-02-22,15274.3
2005-02-23,15480.2
2005-02-24,15480.2
2005-02-25,15480.2
2005-02-28,15480.2
2005-03-01,15480.2
2005-03-02,15480.2
2005-03-03,15480.2
2005-03-04,15480.2
2005-03-07,15480.2
2005-03-08,15480.2
2005-03-09,15480.2
2005-03-10,15480.2
2005-03-11,15480.2
2005-03-14,15480.2
2005-03-15,15480.2
2005-03-16,15480.2
2005-03-17,15480.2
2005-03-18,15480.2
2005-03-21,15480.2
2005-03-22,15480.2
2005-03-23,15480.2
2005-03-24,15480.2
2005-03-28,15480.2
2005-03-29,15480.2
2005-03-30,15480.2
2005-03-31,15480.2
2005-04-01,15480.2
2005-04-04,15480.2
2005-04-05,15480.2
2005-04-06,15603.1
2005-04-07,15977.4
2005-04-08,15836.4
2005-04-11,15933.7
2005-04-12,15993.9
2005-04-13,15909
2005-04-14,15787
2005-04-15,15255.1
2005-04-18,15417.5
2005-04-19,15782.8
2005-04-20,16335.3
2005-04-21,16840
2005-04-22,17795.7
2005-04-25,18432.3
2005-04-26,18038.1
2005-04-27,18123
2005-04-28,18095.8
2005-04-29,18141.2
2005-05-02,18330
2005-05-03,18651.6
2005-05-04,18842.1
2005-05-05,18716.8
2005-05-06,18802.5
2005-05-09,18637.6
2005-05-10,18784.4
2005-05-11,19072.2
2005-05-12,18860.2
2005-05-13,18903.1
2005-05-16,19052.4
2005-05-17,19223.9
2005-05-18,19721.1
2005-05-19,19722.8
2005-05-20,19923.1
2005-05-23,21064.4
2005-05-24,21109.8
2005-05-25,21506.4
2005-05-26,21373.6
2005-05-27,21934.3
2005-05-31,22863.7
2005-06-01,23748.5
2005-06-02,23740.2
2005-06-03,23110.2
2005-06-06,23990.9
2005-06-07,24170.7
2005-06-08,23052.5
2005-06-09,23609.1
2005-06-10,23294.9
2005-06-13,23315.6
2005-06-14,22952.7
2005-06-15,22660
2005-06-16,22877.7
2005-06-17,23113.5
2005-06-20,23641.3
2005-06-21,23735.3
2005-06-22,23855.7
2005-06-23,23889.5
2005-06-24,24511.2
2005-06-27,25076.1
2005-06-28,24902.9
2005-06-29,24137.7
2005-06-30,24255.6
2005-07-01,24016.5
2005-07-05,24384.2
2005-07-06,24038.7
2005-07-07,24370.2
2005-07-08,24427.1
2005-07-11,24189.6
2005-07-12,24060.2
2005-07-13,24644
2005-07-14,24811.4
2005-07-15,24836.1
2005-07-18,24700.1
2005-07-19,25554.3
2005-07-20,25727.5
2005-07-21,25887.5
2005-07-22,24935.9
2005-07-25,24395.8
2005-07-26,24415.6
2005-07-27,24484.8
2005-07-28,24202
2005-07-29,23728.7
2005-08-01,24046.1
2005-08-02,24671.2
2005-08-03,24515.3
2005-08-04,24550.8
2005-08-05,24550.8
2005-08-08,24550.8
2005-08-09,24550.8
2005-08-10,24550.8
2005-08-11,24550.8
2005-08-12,24550.8
2005-08-15,24550.8
2005-08-16,24550.8
2005-08-17,24550.8
2005-08-18,24550.8
2005-08-19,24550.8
2005-08-22,24550.8
2005-08-23,24550.8
2005-08-24,24550.8
2005-08-25,24550.8
2005-08-26,24550.8
2005-08-29,24550.8
2005-08-30,24550.8
2005-08-31,24550.8
2005-09-01,24550.8
2005-09-02,24550.8
2005-09-06,24550.8
2005-09-07,24550.8
2005-09-08,25366.6
2005-09-09,25684.4
2005-09-12,26598.9
2005-09-13,26765.5
2005-09-14,26020.1
2005-09-15,25987.5
2005-09-16,25779.7
2005-09-19,26088
2005-09-20,26441.8
2005-09-21,26784.4
2005-09-22,26738.9
2005-09-23,27081.5
2005-09-26,26988.8
2005-09-27,26959.6
2005-09-28,26277.8
2005-09-29,26588.6
2005-09-30,27176
2005-10-03,27366.6
2005-10-04,26707.1
2005-10-05,26682.2
2005-10-06,26857.4
2005-10-07,26878
2005-10-10,26677.1
2005-10-11,26286.3
2005-10-12,25845.8
2005-10-13,25542.7
2005-10-14,25431
2005-10-17,26191.9
2005-10-18,26191.9
2005-10-19,26191.9
2005-10-20,26191.9
2005-10-21,26191.9
2005-10-24,26191.9
2005-10-25,26191.9
2005-10-26,26191.9
2005-10-27,26704.7
2005-10-28,27091.2
2005-10-31,28147.9
2005-11-01,28695.5
2005-11-02,28718.2
2005-11-03,29192.4
2005-11-04,29531.3
2005-11-07,29879.2
2005-11-08,29491.2
2005-11-09,28678.1
2005-11-10,29582
2005-11-11,29529
2005-11-14,30026
2005-11-15,29710.5
2005-11-16,30115.2
2005-11-17,30516.1
2005-11-18,30271
2005-11-21,30963.1
2005-11-22,31500.9
2005-11-23,31984.2
2005-11-25,32419.9
2005-11-28,32031.1
2005-11-29,30522.9
2005-11-30,30626.5
2005-12-01,31320.9
2005-12-02,31593.9
2005-12-05,30697.6
2005-12-06,30598.5
2005-12-07,30574.3
2005-12-08,31060.7
2005-12-09,30951
2005-12-12,31208.9
2005-12-13,31578
2005-12-14,31578
2005-12-15,31995.3
2005-12-16,32570.7
2005-12-19,32570.7
2005-12-20,32570.7
2005-12-21,32454.3
2005-12-22,32888.9
2005-12-23,32804.4
2005-12-27,32325.6
2005-12-28,32481.7
2005-12-29,31983.8
2005-12-30,31581.1
2006-01-03,33131.8
2006-01-04,33893.8
2006-01-05,34350.5
2006-01-06,35448.2
2006-01-09,35542.6
2006-01-10,35760.4
2006-01-11,35902.7
2006-01-12,35293.7
2006-01-13,35493.2
2006-01-17,35558.6
2006-01-18,33868.7
2006-01-19,33224.6
2006-01-20,30408.8
2006-01-23,32543.3
2006-01-24,33725.5
2006-01-25,32962
2006-01-26,33058.7
2006-01-27,32999.3
2006-01-30,32999.3
2006-01-31,32999.3
2006-02-01,32999.3
2006-02-02,32999.3
2006-02-03,32999.3
2006-02-06,32999.3
2006-02-07,32999.3
2006-02-08,32999.3
2006-02-09,32999.3
2006-02-10,32999.3
2006-02-13,32999.3
2006-02-14,32999.3
2006-02-15,32999.3
2006-02-16,32999.3
2006-02-17,32999.3
2006-02-21,32999.3
2006-02-22,32999.3
2006-02-23,32999.3
2006-02-24,32999.3
2006-02-27,32999.3
2006-02-28,32999.3
2006-03-01,32999.3
2006-03-02,32999.3
2006-03-03,32999.3
2006-03-06,31608.2
2006-03-07,31294.8
2006-03-08,30387.2
2006-03-09,29452.9
2006-03-10,28980.7
2006-03-13,28942.9
2006-03-14,30153.6
2006-03-15,30153.6
2006-03-16,30153.6
2006-03-17,30153.6
2006-03-20,30153.6
2006-03-21,30153.6
2006-03-22,30153.6
2006-03-23,30153.6
2006-03-24,30153.6
2006-03-27,30153.6
2006-03-28,30153.6
2006-03-29,30153.6
2006-03-30,30153.6
2006-03-31,30216.4
2006-04-03,30193.1
2006-04-04,31327.4
2006-04-05,31610.2
2006-04-06,31857.4
2006-04-07,31468.4
2006-04-10,32260.2
2006-04-11,31739.6
2006-04-12,31684.6
2006-04-13,31158.5
2006-04-17,31519.6
2006-04-18,31319.7
2006-04-19,31804.7
2006-04-20,32153.3
2006-04-21,33865.6
2006-04-24,34129
2006-04-25,33095.5
2006-04-26,33003.3
2006-04-27,32543
2006-04-28,32381.1
2006-05-01,30905.9
2006-05-02,30588.3
2006-05-03,30539.5
2006-05-04,30584.4
2006-05-05,30549.5
2006-05-08,30586.7
2006-05-09,30586.7
2006-05-10,30586.7
2006-05-11,30586.7
2006-05-12,30586.7
2006-05-15,30586.7
2006-05-16,30586.7
2006-05-17,30586.7
2006-05-18,30586.7
2006-05-19,30586.7
2006-05-22,30586.7
2006-05-23,30586.7
2006-05-24,30586.7
2006-05-25,30586.7
2006-05-26,30586.7
2006-05-30,30586.7
2006-05-31,30586.7
2006-06-01,30586.7
2006-06-02,30586.7
2006-06-05,30586.7
2006-06-06,30586.7
2006-06-07,30586.7
2006-06-08,30586.7
2006-06-09,30493.6
2006-06-12,30096.9
2006-06-13,30489.7
2006-06-14,30321.7
2006-06-15,30843.1
2006-06-16,30819.4
2006-06-19,30617.5
2006-06-20,30541
2006-06-21,31721.1
2006-06-22,31549.1
2006-06-23,31936.4
2006-06-26,31885.9
2006-06-27,31736
2006-06-28,32035
2006-06-29,32957.9
2006-06-30,33077.8
2006-07-03,33383.1
2006-07-05,33245.9
2006-07-06,33382.3
2006-07-07,33166.2
2006-07-10,32988.7
2006-07-11,33490.4
2006-07-12,32913.8
2006-07-13,32249.6
2006-07-14,31829.1
2006-07-17,32175.4
2006-07-18,31793.6
2006-07-19,31474.2
2006-07-20,30537
2006-07-21,30772.9
2006-07-24,30772.9
2006-07-25,30772.9
